DCCTCT66A1,7080116,1,3,2022-2023
DCCTCT66B1,7080116,1,3,2022-2024
DCCTCT66D1,7080116,1,3,2022-2025
DCCTCT66H1,7080116,1,3,2022-2026
DCCTCT66I1,7080116,1,3,2022-2027
DCCTCT66K1,7080116,1,3,2022-2028
DCCTCT66L1,7080116,1,3,2022-2029
DCCTCT66M1,7080116,1,3,2022-2030
DCCTDH63A,7080116,1,3,2022-2031
DCCTDH64,7080116,1,3,2022-2032
DCCTDH65A,7080116,1,3,2022-2033
DCCTHT63B,7080116,1,3,2022-2034
DCCTHT65A,7080116,1,3,2022-2035
DCCTHT65B,7080116,1,3,2022-2036
DCCTKH64A,7080116,1,3,2022-2037
DCCTKH64B,7080116,1,3,2022-2038
DCCTKH65A,7080116,1,3,2022-2039
DCCTKH65B,7080116,1,3,2022-2040
DCCTKT62,7080116,1,3,2022-2041
DCCTKT63A,7080116,1,3,2022-2042
DCCTKT64A,7080116,1,3,2022-2043
DCCTKT65A,7080116,1,3,2022-2044
DCCTKT65B,7080116,1,3,2022-2045
DCCTMM63C,7080116,1,3,2022-2046
DCCTMM65A,7080116,1,3,2022-2047
DCCTMM65B,7080116,1,3,2022-2048
DCCTPM62A,7080116,1,3,2022-2049
DCCTPM63A,7080116,1,3,2022-2050
DCCTPM64A,7080116,1,3,2022-2051
DCCTPM65C,7080116,1,3,2022-2052
